,Ground Truth Image,Expected object,Predicted object,Expected Caption,Generated Caption
0,data/images/n03982430/n03982430_20620.JPEG,pool table,camera," A man is playing pool, leaning over the table, and aiming at a red ball with a cue stick. ","A camera is a device used to capture images or videos, often with the help of an assistant."
1,data/images/n03272010/n03272010_7501.JPEG,guitar,elephant, A young boy sitting on a chair playing a guitar. ,"A large, gray elephant with a long trunk and two small ears stands on all fours in a grassy field."
2,data/images/n03180011/n03180011_4854.JPEG,computer,computer," A computer desk with a monitor, keyboard, mouse, and a lamp. ",A computer with a helpful assistant providing information.
3,data/images/n03272562/n03272562_4071.JPEG,train,train," An old train car sits on the tracks, waiting for its next journey. ","A large, intricate metal machine with multiple moving parts and levers, designed for lifting heavy loads."
4,data/images/n03584829/n03584829_26740.JPEG,ironing machine,piano," An old iron with rusted handle and a rope, placed on a rusted metal stand. ","A beautiful, well-maintained grand piano with a polished wooden finish and intricate detailing on the legs."
5,data/images/n07873807/n07873807_18033.JPEG,pizza,camera," Two pizzas on a baking sheet, one with cheese and olives, the other with cheese, olives, and sausage. ",A close-up of a person's face with a soft focus and muted colors.
6,data/images/n03063599/n03063599_1096.JPEG,coffee mug,coffee mug," A white mug with a green design and the word ""tea"" on it. ",A white mug with a cartoon character of two hands holding a coffee cup.
7,data/images/n03452741/n03452741_1177.JPEG,piano,ball," A small, handmade piano with a black felt lid and a brown felt seat. ","A colorful, abstract painting with swirling patterns and bold shapes."
8,data/images/n03063599/n03063599_5287.JPEG,coffee mug,car, A white coffee mug with a brown starbucks logo on it. ,"A group of circles, each with a unique color and shape, arranged in an overlapping pattern on a white background."
9,data/images/n02492035/n02492035_16869.JPEG,monkey,horse, A monkey is sitting on a palm tree branch. ,"A large, ornate clock with intricate carvings and detailed engravings on its surface."
10,data/images/n03197337/n03197337_830.JPEG,watch or watches,airplane," A digital wristwatch with a black strap and a white face, inside a clear plastic case. ",A small airplane taking off from a grassy field with trees and mountains in the background.
11,data/images/n03590841/n03590841_11757.JPEG,pumpkin,pumpkin," Two carved pumpkins with faces, one with a neutral expression and the other with a scary expression, sitting on a table. ","Sure, okay."
12,data/images/n02504458/n02504458_3816.JPEG,elephant,panda or pandas, A large elephant standing in a grassy field. ,"This image depicts a panda sitting on a branch, gazing intently at the viewer with its large, round eyes and fluffy fur."
13,data/images/n03272562/n03272562_4339.JPEG,train,guitar, A train on the tracks with cargo cars behind it. ,"A large, stringed musical instrument with frets and a neck, often played with both hands."
14,data/images/n03982430/n03982430_27656.JPEG,pool table,camera," A man leaning over a pool table, looking down at the cue ball. ","A close-up image of a person's face, with intricate details visible in the facial features and skin texture."
15,data/images/n03445777/n03445777_5342.JPEG,ball,piano, A white golf ball with a logo on it. ,"A black and white piano, with a sleek modern design and keys that light up when pressed."
16,data/images/n07873807/n07873807_3354.JPEG,pizza,pizza, A large pepperoni pizza in a box. ,"A pizza with a red and green checkered pattern, featuring various toppings such as pepperoni, mushrooms, onions, and olives."
17,data/images/n02951358/n02951358_33850.JPEG,canoe or boat,canoe or boat, A man in a yellow helmet is kayaking down a river. ,"A canoe or boat is a small, narrow watercraft designed for one or two people to paddle and navigate through water bodies like rivers, lakes, and oceans."
18,data/images/n03982430/n03982430_4411.JPEG,pool table,pool table," A room with a pool table, dartboard, and a painting of a baseball team. ","A pool table with a net, surrounded by four chairs and a small shelf."
19,data/images/n11939491/n11939491_7263.JPEG,flower,shoes, A white daisy with yellow center in the center of a large green leaf. ,A pair of black high-top sneakers with white accents and red soles.
20,data/images/n02690373/n02690373_20090.JPEG,airplane,airplane, A blue and white airplane on the runway. ,An airplane taking off in the sky with fluffy clouds below.
21,data/images/n03888257/n03888257_16741.JPEG,parachutes,parachutes, A group of people are flying a colorful kite in a park. ,A person wearing a parachute jumps from an airplane while holding onto the edge of their seat.
22,data/images/n11939491/n11939491_55377.JPEG,flower,mushroom, A vibrant pink flower with yellow center in a field of grass. ,"A colorful, multicolored mushroom with a white cap and brown stems."
23,data/images/n03445777/n03445777_15294.JPEG,ball,girl, A crystal golf ball with a personalized message. ,"A young woman with long, flowing hair and a serene expression gazes into the camera while wearing an elegant white gown."
24,data/images/n03445777/n03445777_15294.JPEG,ball,ball, A crystal golf ball with a personalized message. ,A blue ball with white stripes and a red star on it.
25,data/images/n03100240/n03100240_13929.JPEG,car,coffee mug, A vintage black car with red trim parked on grass. ,"A coffee mug is a round, white ceramic cup with a handle and a small opening for drinking."
26,data/images/n13054560/n13054560_5228.JPEG,mushroom,mushroom, A red mushroom with white spots growing in the grass. ,"A large, white mushroom with a small hole in the center."
27,data/images/n04086273/n04086273_17042.JPEG,gun,coffee mug," A soldier in a military uniform holding a rifle with a scope, wearing sunglasses and a helmet. ","A coffee mug with a cartoon character on it, holding a speech bubble that says ""I'm not just any old cup."""
28,data/images/n03445777/n03445777_15294.JPEG,ball,ball, A crystal golf ball with a personalized message. ,"The image depicts a group of people gathered around a table, with various objects and items scattered on the surface."
29,data/images/n03063599/n03063599_691.JPEG,coffee mug,canoe or boat, A blue mug with a white logo on it. ,"A small, wooden canoe with a curved bow and stern rests on its side next to a tree trunk."
30,data/images/n02951358/n02951358_31796.JPEG,canoe or boat,canoe or boat," Two people in red kayaks on a river, with a rocky cliff and a building in the background. ","A canoe is a small, narrow boat with a curved bottom and one or two seats."
31,data/images/n02992529/n02992529_46.JPEG,cell phone,coffee mug, A black cell phone with a keypad and a screen. ,"A cartoon character holding a coffee mug with the phrase ""I'm not a morning person"" written on it."
32,data/images/n02951358/n02951358_33850.JPEG,canoe or boat,canoe or boat, A man in a yellow helmet is kayaking down a river. ,"A small, flat-bottomed boat with a curved back and sides."
33,data/images/n03452741/n03452741_2982.JPEG,piano,ball, A showroom displaying a red grand piano and a black baby grand piano. ,"A close-up of a colorful, intricately designed tattoo on the arm."
34,data/images/n07873807/n07873807_3354.JPEG,pizza,camp or camping, A large pepperoni pizza in a box. ,"This image depicts a group of people gathered around a campfire, with tents and outdoor equipment visible in the background."
35,data/images/n03297495/n03297495_1204.JPEG,coffee maker,coffee maker, This is an image of a coffee machine with two cups of coffee on the spout. ,"A coffee maker with a small, round container on top and two handles attached to the sides."
36,data/images/n03775071/n03775071_2160.JPEG,gloves,rocket," A hand-knitted sock with a colorful pattern, sitting on a table with knitting needles and a piece of paper. ","A rocket is depicted in mid-air, with flames and smoke emitting from its engine."
37,data/images/n02124075/n02124075_6197.JPEG,cat,cat, A white cat and a gray cat stand on a dirt road in front of a house. ,"The image ""cat"" can be described as ""Description of this image in one sentence."""
38,data/images/n03063599/n03063599_5019.JPEG,coffee mug,cell phone, A white coffee mug with a blue and red design on it. ,"A small, rectangular device with a touchscreen and various communication capabilities."
39,data/images/n03100240/n03100240_13929.JPEG,car,car, A vintage black car with red trim parked on grass. ,"A sleek, high-performance sports car with a bold design and powerful engine."
40,data/images/n03297495/n03297495_2852.JPEG,coffee maker,train," This is an image of a black coffee maker with a digital display and buttons, placed on a white background. ","A close-up of a woman's hand holding a small, furry creature with large ears and whiskers."
41,data/images/n04120489/n04120489_10588.JPEG,shoes,mushroom, A white and red tennis shoe with a black and yellow logo. ,"A colorful, multicolored mushroom with a tall stem and multiple small caps on top."
42,data/images/n03888257/n03888257_6749.JPEG,parachutes,parachutes," Two people are skydiving, one is holding onto the other, they are in the air, and they are wearing helmets. ",A group of skydivers wearing parachutes jumps from a plane and opens their chutes as they descend towards the ground.
43,data/images/n02281787/n02281787_2105.JPEG,butterfly,cat, A white and blue butterfly perched on a green leaf. ,"A black cat with white paws and a white chest, sitting on a wooden floor surrounded by colorful pillows."
44,data/images/n03792972/n03792972_1570.JPEG,camp or camping,gloves, A tent set up in a field with camping gear. ,A pair of white gloves with red stripes and a small logo on the back.
45,data/images/n02607072/n02607072_304.JPEG,clownfish or fish,elephant, Two clownfish swimming among the tentacles of an anemone. ,A gray elephant with a white trunk and two brown spots on its back.
46,data/images/n03297495/n03297495_7249.JPEG,coffee maker,coffee maker," This is an image of a white espresso machine with a silver and black front panel, featuring two spouts and two buttons. ",A coffee maker is a small appliance that brews coffee by pouring hot water over ground coffee beans or tea leaves and then passes it through a filter.
47,data/images/n03584829/n03584829_33459.JPEG,ironing machine,ironing machine, An iron on a table with a compass and ink. ,"A woman is using an ironing machine to press a white shirt, with the shirt lying flat on a table and the ironing board visible behind her."
48,data/images/n03272562/n03272562_8639.JPEG,train,train, A blue and yellow train engine on the tracks with a yellow train car behind it. ,"A train with a large, red ""HELP"" sign on its side is speeding through an empty, industrial area."
49,data/images/n02690373/n02690373_9676.JPEG,airplane,brush, A large yellow and white airplane flying in the sky above an airport. ,"A brush, possibly with bristles on one end for cleaning or grooming."
50,data/images/n03775071/n03775071_2160.JPEG,gloves,bicycle," A hand-knitted sock with a colorful pattern, sitting on a table with knitting needles and a piece of paper. ","A bicycle with a basket and handlebars, ridden by two people."
51,data/images/n03452741/n03452741_24828.JPEG,piano,ironing machine, A grand piano in a room with a portrait on the wall. ,"A vintage sewing machine with a wooden cabinet and brass accents, surrounded by colorful fabric samples."
52,data/images/n02951358/n02951358_30776.JPEG,canoe or boat,canoe or boat, A group of people in kayaks on the ocean. ,"A small, flat-bottomed boat with a pointed bow and stern, typically used for leisurely paddling or transporting light loads on calm waters."
53,data/images/n03272562/n03272562_8931.JPEG,train,train, Two red trains parked on train tracks. ,"A large, colorful mural of various animals and plants in a jungle setting."
54,data/images/n03590841/n03590841_1053.JPEG,pumpkin,handbag," A carved pumpkin with a face and a smaller carved pumpkin with a face, both sitting on a table with leaves around them. ","A handbag with a golden chain handle, featuring an intricate floral pattern and multiple compartments for organization."
55,data/images/n03063599/n03063599_691.JPEG,coffee mug,airplane, A blue mug with a white logo on it. ,"A small, red biplane with a single propeller and two seats."
56,data/images/n04044716/n04044716_11204.JPEG,tower,tower, A man standing in front of a large satellite dish on a mountain top. ,"A tall, thin tower made of bricks and mortar with a square base."
