,Ground Truth Image,Expected object,Predicted object,Expected Caption,Generated Caption
0,data/images/n03452741/n03452741_2982.JPEG,piano,ball, A showroom displaying a red grand piano and a black baby grand piano. ,"A white ball with a black dot in the center, surrounded by colorful concentric circles."
1,data/images/n02992529/n02992529_13746.JPEG,cell phone,computer, A man in glasses is talking on a cell phone while sitting at a table. ,"A close-up photo of a sleek, white laptop computer with an open lid and a colorful background."
2,data/images/n07753592/n07753592_10233.JPEG,fruits and vegetables,fruits and vegetables, A ripe banana with a brown spot on the end. ,"This image shows a variety of fruits and vegetables, highlighting their colorful and visually appealing nature."
3,data/images/n03584829/n03584829_33459.JPEG,ironing machine,ironing machine, An iron on a table with a compass and ink. ," A large, colorful ironing machine with various attachments for household chores."
4,data/images/n02906734/n02906734_17920.JPEG,brush,brush, A woman holding a broom and standing in front of a display of brooms. ,"This image shows a colorful brush with bristles made of different materials, such as nylon and boar."
5,data/images/n03063599/n03063599_5287.JPEG,coffee mug,canoe or boat, A white coffee mug with a brown starbucks logo on it. ,"A canoe or boat is a small, narrow watercraft used for transportation and recreation."
6,data/images/n02992529/n02992529_46.JPEG,cell phone,canoe or boat, A black cell phone with a keypad and a screen. ,A canoe with a person rowing it on the water.
7,data/images/n03180011/n03180011_5834.JPEG,computer,gun," A desktop computer with a monitor, keyboard, and mouse on a white background. ","A black handgun with a silver slide and handle, mounted on a wooden background."
8,data/images/n03888257/n03888257_54295.JPEG,parachutes,tower," Two parachutists flying high in the sky, each holding a Canadian flag, against a backdrop of a clear blue sky. ","A large tower made of metal and stone, with a spiral staircase leading to the top."
9,data/images/n03792782/n03792782_12815.JPEG,bicycle,bicycle," A group of bicyclists in a line, preparing for a race. ","A red bicycle with a basket and fenders, parked on the side of a road."
10,data/images/n03709823/n03709823_7681.JPEG,handbag,bicycle, A black leather handbag with a cartoon character on it. ,"A sleek, modern bicycle with a step-through frame and an integrated front light."
11,data/images/n03877472/n03877472_23771.JPEG,girl,girl," Three women in pajamas sitting on a couch, smiling and posing for the camera. ","A girl wearing a white shirt and blue jeans, with her hair tied up in a bun."
12,data/images/n03775071/n03775071_3297.JPEG,gloves,gloves," A pair of handmade, knitted gloves with a mix of brown, orange, and black yarn. ", A close-up of a pair of white gloves on a wooden surface.
13,data/images/n03775071/n03775071_6122.JPEG,gloves,gloves, A person wearing a coat and holding their hands together in front of them. ,A pair of blue gloves with white stripes.
14,data/images/n03773504/n03773504_17692.JPEG,rocket,gloves," The image shows a missile with the word ""USA"" on it, standing in front of an American flag. ",A pair of black leather gloves with white stitching.
15,data/images/n02607072/n02607072_304.JPEG,clownfish or fish,clownfish or fish, Two clownfish swimming among the tentacles of an anemone. ,"A clownfish with vibrant colors and patterns, commonly found in coral reefs."
16,data/images/n02124075/n02124075_57.JPEG,cat,cat, A small kitten with yellow eyes and a spotted coat is sitting on a carpeted floor. ," This image shows a cute cat with white fur and blue eyes. 

R: 10cm"
17,data/images/n07873807/n07873807_2421.JPEG,pizza,shoes, A variety of pizzas on display in a restaurant. ,"This image shows a pair of white sneakers with blue and red accents, accompanied by the phrase ""Stay Fresh"" written on them. The shoes have a sporty design and are made of synthetic materials."
18,data/images/n03709823/n03709823_9033.JPEG,handbag,handbag, A black and yellow duffel bag with a black strap. ,"A stylish and spacious handbag with a unique design, perfect for any occasion."
19,data/images/n03792972/n03792972_5525.JPEG,camp or camping,gloves, Two tents set up on a hillside with a rocky outcropping and trees in the background. ,A pair of black leather gloves with white stitching on the back and fingers.
20,data/images/n03792972/n03792972_1570.JPEG,camp or camping,gloves, A tent set up in a field with camping gear. ," A pair of white cotton gloves with black stitching, hanging on a wooden hanger."
21,data/images/n03272010/n03272010_4370.JPEG,guitar,guitar, A blue electric guitar with a pickup and a cord on a white surface. ,A black electric guitar with a red pick guard and white tuning keys.
22,data/images/n11939491/n11939491_51732.JPEG,flower,flower," The image shows a close-up of a daisy with white petals and a yellow center, surrounded by other daisies in the background. ","This image shows a beautiful pink flower with five petals, each petal delicately curved and softly ruffled at the edges. The center of the flower has a small yellow pistil surrounded by multiple white stamens that sway gently in the breeze. Overall, this captivating floral arrangement emits an aura of elegance and grace."
23,data/images/n03100240/n03100240_8794.JPEG,car,car, A black convertible car parked on a gravel driveway. ,This image shows a red sports car with sleek design and powerful engine.
24,data/images/n03590841/n03590841_1053.JPEG,pumpkin,piano," A carved pumpkin with a face and a smaller carved pumpkin with a face, both sitting on a table with leaves around them. ","This image shows a grand piano with a beautiful wooden finish, adorned with intricate carvings and designs on the front panel."
25,data/images/n07873807/n07873807_7685.JPEG,pizza,fruits and vegetables," A large pizza with cheese, basil, and tomato sauce on a plate. ","This image shows a variety of fruits and vegetables, highlighting their vibrant colors, shapes, and textures."
26,data/images/n03584829/n03584829_33459.JPEG,ironing machine,handbag, An iron on a table with a compass and ink. ,"A large, stylish handbag with a unique design and multiple compartments."
27,data/images/n03775071/n03775071_3297.JPEG,gloves,gloves," A pair of handmade, knitted gloves with a mix of brown, orange, and black yarn. ",A pair of white gloves with black stripes on the fingers and palms.
28,data/images/n04069434/n04069434_12771.JPEG,camera,tower," The image shows a black digital single-lens reflex camera (DSLR) with a lens attached, set against a white background. ","A large, colorful tower with multiple platforms and a spiral staircase."
29,data/images/n02492035/n02492035_24294.JPEG,monkey,monkey," Two monkeys in a tree enclosure, one grooming the other. ", A cute monkey wearing a red hat.
30,data/images/n02690373/n02690373_20090.JPEG,airplane,clownfish or fish, A blue and white airplane on the runway. ,This image shows a colorful clownfish swimming in an underwater coral reef.
31,data/images/n03297495/n03297495_1447.JPEG,coffee maker,guitar, A vintage metal hand juicer on a table. ,A black electric guitar with a red pick on its neck.
32,data/images/n03272562/n03272562_608.JPEG,train,train, A blue and white train on the tracks. ," A train passing through a field of wildflowers.

번역 과정"
33,data/images/n03773504/n03773504_6291.JPEG,rocket,handbag, A large nuclear missile inside a missile silo. ,"A stylish and functional handbag with a unique design, perfect for any occasion."
